nif,name,originial-address,merged-address,address-count,zip-code,city,form,cae-code,active-2016,active-2015,active-2014,active-2013,active-2012,active-2012-2016
509820271,"ANYMORE - INVESTIMENTOS, LDA (ZONA FRANCA DA MADEIRA)","1220 North Market Street, Suite 808, Wilmington 19801","1220 North Market Street, Suite 808, Wilmington 19801",1,9000-044,Funchal,LDA,70220,0,0,0,0,1,1
509782906,"WESTERLEY ENTERPRISES GROUP - INVESTIMENTOS, LDA (ZONA FRANCA DA MADEIRA)","1220 North Market Street, Suite 808, Wilmington 19810","1220 North Market Street, Suite 808, Wilmington 19810",1,9000-044,Funchal,LDA,,0,0,0,0,1,1
511150172,PERSHORE - COMÉRCIO INTERNACIONAL LDA (ZONA FRANCA DA MADEIRA),"1345, Chemin de La Garoupe Villa Altair - Quartier de La Garoupe - 06600 Antibes, França","1345, Chemin de La Garoupe Villa Altair - Quartier de La Garoupe - 06600 Antibes, França",1,9000-015,Funchal,LDA,,0,0,0,0,0,0
511092539,TRANCÃO - GESTÃO E SERVIÇOS LDA (ZONA FRANCA DA MADEIRA),"15, Rue Edward Steichen, L-2540 Luxemburgo","15, Rue Edward Steichen, L-2540 Luxemburgo",1,9000-042,Funchal,LDA,,0,0,0,0,1,1
511146191,PORTLADISE - CONSULTADORIA E SERVIÇOS LDA (ZONA FRANCA DA MADEIRA),"19-21 Boulevard Du Prince Henri, L-1724","19-21 Boulevard Du Prince Henri, L-1724",2,9000-060,Funchal,LDA,70220,0,0,0,1,1,2
511159374,"QUAGLINO - CONSULTADORIA E SERVIÇOS, SOCIEDADE UNIPESSOAL, LDA ( ZONA FRANCA DA MADEIRA )","19/ 21 Boulevard Du Prince Henri, L-1724","19-21 Boulevard Du Prince Henri, L-1724",2,9000-060,Luxemburgo,UNI,,0,0,0,0,0,0
511098138,"LARANJEDO SERVIÇOS E GESTÃO, SOCIEDADE UNIPESSOAL LDA (ZONA FRANCA DA MADEIRA)","19-21, Boulevard Du Prince Henri, L-1724 Luxemburgo, Grão-Ducado do Luxemburgo","19-21, Boulevard Du Prince Henri, L-1724 Luxemburgo, Grão-Ducado do Luxemburgo",2,9004-521,Funchal,UNI,,0,0,0,0,0,0
511106220,"SABUGUEIRO SERVIÇOS E GESTÃO, SOCIEDADE UNIPESSOAL LDA (ZONA FRANCA DA MADEIRA)","19-21, Boulevard Du Prince Henri, L-1724 Luxemburgo, Grão-Ducado do Luxemburgo","19-21, Boulevard Du Prince Henri, L-1724 Luxemburgo, Grão-Ducado do Luxemburgo",2,9004-521,Luxemburgo,UNI,,0,0,0,0,0,0
511102720,"TARASCON COMÉRCIO INTERNACIONAL, SOCIEDADE UNIPESSOAL, LDA (ZONA FRANCA DA MADEIRA)","19-21, Boulevard Du Prince Henri, L-1724 Luxemburgo, No Grão-Ducado do Luxemburgo","19-21, Boulevard Du Prince Henri, L-1724 Luxemburgo, No Grão-Ducado do Luxemburgo",1,9004-521,Luxemburgo,UNI,,0,0,0,0,0,0
511149646,"CHAUMIÉRE - CONSULTADORIA E SERVIÇOS, SOCIEDADE UNIPESSOAL LDA(ZONA FRANCA DA MADEIRA)","19/ 21 Boulevard Du Prince Henri, L-1724 Luxemburgo","19/ 21 Boulevard Du Prince Henri, L-1724 Luxemburgo",3,9000-060,Funchal,UNI,,0,0,0,0,0,0
511149670,INVERLOCHY - CONSULTADORIA E SERVIÇOS SOCIEDADE UNIPESSOAL LDA (ZONA FRANCA DA MADEIRA),"19/ 21 Boulevard Du Prince Henri, L-1724 Luxemburgo","19/ 21 Boulevard Du Prince Henri, L-1724 Luxemburgo",3,9000-060,Funchal,UNI,,0,0,0,0,0,0
511149301,"PAMPHILI - CONSULTADORIA E SERVIÇOS, SOCIEDADE UNIPESSOAL LDA (ZONA FRANCA DA MADEIRA)",19/ 21 Boulevard Du Prince Henri L-1724 Luxemburgo,"19/ 21 Boulevard Du Prince Henri, L-1724 Luxemburgo",3,9000-060,Funchal,UNI,,0,0,0,0,0,0
511155026,"MINOLO - COMERCIO, SERVIÇOS DE CONSULTADORIA E INVESTIMENTOS, SOCIEDADE UNIPESSOAL, LDA (ZONA FRANCA DA MADEIRA)","2-4 Arch. Makarios Iii, Ave., Capital Center, 7Th Floor, 1065, Nicosia","2-4 Arch. Makarios Iii, Ave., Capital Center, 7Th Floor, 1065, Nicosia",1,9000-060,Funchal,UNI,70220,1,0,0,1,0,2
